"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","501","1. CREATE - Should create a new gallery @api @sanity","api-tests","2026-01-25","passed","2026-01-25","Gallery API - Full CRUD Flow (Refactored)","","",""
"","1269","2. Should be able to log out","ui-tests","2026-01-25","passed","2026-01-25","Dashboard Page - Authenticated UI","","",""
"","1158","Should detect sensitive info in Error Responses (Mocked 500)","ai-tests","2026-01-25","passed","2026-01-25","AI-Assisted Security Scans","","",""
"","1131","1. Should display empty state if galleries API returns 500","ui-tests","2026-01-25","passed","2026-01-25","UI Resilience - API Error Handling","","",""
"","2002","Production Security Scan - Real Traffic Analysis","ai-tests","2026-01-25","passed","2026-01-25","AI-Assisted Security Scans","","",""
"","132","Should not expose PII in public API responses","ai-tests","2026-01-25","passed","2026-01-25","AI-Assisted Security Scans","","",""
"","4606","Should handle malicious usernames","ai-tests","2026-01-25","passed","2026-01-25","AI-Driven Fuzz Testing","","",""
"","1268","2. Should match the Dashboard Sidebar design","visual-tests","2026-01-25","passed","2026-01-25","Visual Regression - Static Components","","",""
"","1189","2. Should display empty state if galleries API returns empty list","ui-tests","2026-01-25","passed","2026-01-25","UI Resilience - API Error Handling","","",""
"","699","1. Should generate creative title via Gemini and validate relevance (Mocked)","ai-tests","2026-01-25","passed","2026-01-25","AI-Assisted Content Validation","","",""
"","2408","Should verify image content efficiently (One-Shot)","ai-tests","2026-01-25","passed","2026-01-25","AI Vision Capabilities","","",""
"","179","2. READ - Should retrieve the created gallery (public GET)","api-tests","2026-01-25","passed","2026-01-25","Gallery API - Full CRUD Flow (Refactored)","","",""
"","740","1. Gallery created via API should exist in MongoDB","data-validation-tests","2026-01-25","passed","2026-01-25","Data Validation - API vs DB (Refactored)","","",""
"","262","3. DELETE - Should delete the created gallery","api-tests","2026-01-25","passed","2026-01-25","Gallery API - Full CRUD Flow (Refactored)","","",""
"","1426","1. Should match the Login Form design","visual-tests","2026-01-25","passed","2026-01-25","Visual Regression - Static Components","","",""
"","1152","1. Should load dashboard and show create button","ui-tests","2026-01-25","passed","2026-01-25","Dashboard Page - Authenticated UI","","",""
"","3870","Full Sync Flow","e2e-tests","2026-01-25","passed","2026-01-25","Hybrid E2E - Enterprise Architecture","","",""
